время[c],напряжение[В]
0.000678,3.084066
0.001305,3.093842
0.001945,3.088954
0.002632,3.098729
0.003327,3.093842
0.004026,3.093842
0.004701,3.098729
0.005388,3.093842
0.006093,3.098729
0.006783,3.093842
0.007502,3.088954
0.008215,3.088954
0.008955,3.088954
0.009735,3.093842
0.010510,3.088954
0.011186,3.093842
0.011897,3.098729
0.012591,3.103617
0.013314,3.093842
0.014000,3.093842
0.014682,3.093842
0.015345,3.098729
0.016029,3.108504
0.016685,3.093842
0.017345,3.098729
0.018013,3.103617
0.018694,3.093842
0.019375,3.093842
0.020058,3.088954
0.020744,3.088954
0.022974,3.098729
0.024888,3.093842
0.026923,3.098729
0.028761,3.098729
0.030899,3.093842
0.031632,3.088954
0.032382,3.093842
0.033107,3.088954
0.033841,3.093842
0.034550,3.093842
0.035262,3.098729
0.035977,3.103617
0.036718,3.098729
0.037403,3.098729
0.038126,3.093842
0.038892,3.093842
0.039632,3.093842
0.040329,3.093842
0.041075,3.098729
0.041827,3.103617
0.042477,3.093842
0.043069,3.093842
0.043630,3.093842
0.044186,3.093842
0.044741,3.093842
0.045297,3.093842
0.045850,3.093842
0.046404,3.093842
0.046973,3.088954
0.047572,3.098729
0.048179,3.098729
0.048810,3.098729
0.049411,3.088954
0.050004,3.098729
0.050598,3.093842
0.051199,3.093842
0.051787,3.098729
0.052401,3.103617
0.053000,3.088954
0.053617,3.098729
0.054228,3.093842
0.054887,3.093842
0.055539,3.093842
0.056150,3.103617
0.056811,3.098729
0.057426,3.093842
0.058050,3.098729
0.058686,3.103617
0.059350,3.103617
0.059988,3.098729
0.060627,3.093842
0.061274,3.103617
0.061904,3.093842
0.062567,3.098729
0.063189,3.103617
0.063886,3.103617
0.064528,3.098729
0.065187,3.098729
0.065855,3.098729
0.066564,3.103617
0.067203,3.088954
0.067901,3.098729
0.068570,3.093842
0.069219,3.098729
0.069891,3.098729
0.070563,3.103617
0.071243,3.098729
0.071935,3.098729
0.072611,3.098729
0.073270,3.093842
0.073927,3.098729
0.074582,3.093842
0.075211,3.098729
0.075884,3.098729
0.076575,3.098729
0.077233,3.093842
0.077900,3.103617
0.078568,3.103617
0.079218,3.098729
0.079921,3.098729
0.080582,3.093842
0.081267,3.098729
0.081910,3.093842
0.082591,3.103617
0.083232,3.098729
0.083897,3.093842
0.084559,3.098729
0.085208,3.093842
0.085855,3.088954
0.086519,3.103617
0.087170,3.098729
0.087832,3.093842
0.088521,3.098729
0.089181,3.093842
0.089816,3.093842
0.090493,3.093842
0.091179,3.103617
0.091773,3.093842
0.092355,3.088954
0.092937,3.093842
0.093521,3.098729
0.094133,3.093842
0.094729,3.098729
0.095307,3.084066
0.095965,3.088954
0.096554,3.093842
0.097132,3.088954
0.097712,3.093842
0.098296,3.093842
0.098887,3.098729
0.099466,3.093842
0.100049,3.093842
0.100633,3.088954
0.101256,3.093842
0.101886,3.103617
0.102525,3.098729
0.103124,3.093842
0.103771,3.103617
0.104408,3.093842
0.105017,3.093842
0.105613,3.098729
0.106216,3.098729
0.106999,3.103617
0.107676,3.093842
0.108427,3.098729
0.109207,3.088954
0.109905,3.093842
0.110620,3.093842
0.111361,3.098729
0.112196,3.093842
0.112999,3.098729
0.113861,3.103617
0.114634,3.108504
0.115402,3.103617
0.116227,3.123167
0.117021,3.108504
0.117773,3.118280
0.118487,3.113392
0.119313,3.108504
0.120060,3.113392
0.120953,3.103617
0.121786,3.108504
0.122597,3.118280
0.123410,3.108504
0.124111,3.108504
0.124785,3.113392
0.125452,3.118280
0.126122,3.113392
0.126915,3.103617
0.127760,3.103617
0.128716,3.108504
0.129567,3.113392
0.130307,3.108504
0.131070,3.093842
0.131864,3.113392
0.132605,3.113392
0.133346,3.108504
0.134132,3.113392
0.134920,3.113392
0.135617,3.113392
0.136293,3.118280
0.136945,3.108504
0.137586,3.108504
0.138204,3.113392
0.138792,3.108504
0.139389,3.103617
0.140021,3.103617
0.140620,3.108504
0.141251,3.103617
0.141913,3.108504
0.142566,3.108504
0.143214,3.113392
0.143895,3.113392
0.144682,3.113392
0.145386,3.113392
0.146061,3.113392
0.146902,3.108504
0.147695,3.103617
0.148543,3.103617
0.149365,3.113392
0.150127,3.103617
0.150819,3.103617
0.151510,3.103617
0.152182,3.108504
0.152871,3.108504
0.153547,3.108504
0.154217,3.103617
0.154876,3.108504
0.155553,3.108504
0.156212,3.113392
0.156897,3.108504
0.157581,3.108504
0.158257,3.108504
0.158937,3.113392
0.159652,3.108504
0.160321,3.108504
0.161013,3.108504
0.161695,3.108504
0.162385,3.103617
0.163062,3.108504
0.163761,3.113392
0.164492,3.113392
0.165211,3.103617
0.165899,3.118280
0.166589,3.108504
0.167272,3.098729
0.167973,3.103617
0.168660,3.108504
0.169415,3.088954
0.170123,3.108504
0.170816,3.108504
0.171536,3.113392
0.172245,3.108504
0.172936,3.118280
0.173615,3.118280
0.174355,3.108504
0.175083,3.113392
0.175840,3.113392
0.176547,3.113392
0.177229,3.113392
0.177921,3.123167
0.178631,3.108504
0.179377,3.118280
0.180068,3.118280
0.180760,3.108504
0.181449,3.108504
0.182133,3.113392
0.182811,3.108504
0.183537,3.113392
0.184235,3.108504
0.184929,3.113392
0.185634,3.118280
0.186369,3.113392
0.187058,3.108504
0.187752,3.108504
0.188446,3.108504
0.189125,3.108504
0.189801,3.118280
0.190521,3.108504
0.191211,3.113392
0.191931,3.108504
0.192707,3.108504
0.193435,3.108504
0.194182,3.108504
0.194940,3.108504
0.195650,3.113392
0.196333,3.113392
0.197006,3.118280
0.197709,3.113392
0.198435,3.108504
0.199158,3.113392
0.199877,3.108504
0.200585,3.108504
0.201310,3.118280
0.202066,3.108504
0.202780,3.113392
0.203568,3.113392
0.204251,3.113392
0.204957,3.113392
0.205677,3.118280
0.206418,3.108504
0.207111,3.108504
0.207818,3.108504
0.208577,3.103617
0.209298,3.118280
0.210015,3.113392
0.210765,3.108504
0.211510,3.108504
0.212265,3.118280
0.212964,3.108504
0.213687,3.103617
0.214394,3.113392
0.215106,3.123167
0.215829,3.113392
0.216551,3.113392
0.217272,3.113392
0.217958,3.108504
0.218669,3.108504
0.219430,3.108504
0.220174,3.113392
0.220887,3.108504
0.221573,3.113392
0.222243,3.113392
0.222856,3.113392
0.223433,3.108504
0.224032,3.103617
0.224620,3.103617
0.225196,3.103617
0.225777,3.103617
0.226356,3.103617
0.226927,3.108504
0.227502,3.108504
0.228077,3.103617
0.228651,3.103617
0.229225,3.098729
0.229802,3.103617
0.230378,3.108504
0.230952,3.113392
0.231643,3.113392
0.232403,3.113392
0.233149,3.113392
0.233864,3.113392
0.234605,3.113392
0.235308,3.118280
0.236027,3.108504
0.236713,3.108504
0.237375,3.118280
0.238062,3.113392
0.238741,3.108504
0.239416,3.108504
0.240121,3.108504
0.240851,3.113392
0.241562,3.103617
0.242354,3.113392
0.243077,3.098729
0.243822,3.108504
0.244557,3.113392
0.245277,3.103617
0.246011,3.113392
0.246742,3.108504
0.247447,3.108504
0.248162,3.108504
0.248831,3.108504
0.249494,3.108504
0.250207,3.103617
0.251072,3.103617
0.251821,3.108504
0.252544,3.108504
0.253265,3.108504
0.253979,3.113392
0.254778,3.113392
0.255580,3.108504
0.256306,3.113392
0.257195,3.113392
0.257936,3.113392
0.258645,3.103617
0.259402,3.108504
0.260170,3.113392
0.260919,3.108504
0.261604,3.118280
0.262335,3.123167
0.263035,3.108504
0.263885,3.113392
0.264683,3.113392
0.265387,3.108504
0.266106,3.113392
0.266777,3.108504
0.267425,3.108504
0.268070,3.103617
0.268723,3.108504
0.269370,3.108504
0.270033,3.113392
0.270697,3.113392
0.271364,3.113392
0.271996,3.113392
0.272657,3.118280
0.273252,3.118280
0.273857,3.123167
0.274449,3.118280
0.275046,3.123167
0.275652,3.118280
0.276244,3.118280
0.276842,3.113392
0.277443,3.123167
0.278048,3.113392
0.278657,3.118280
0.279262,3.113392
0.279873,3.118280
0.280502,3.113392
0.281148,3.108504
0.281768,3.118280
0.282395,3.113392
0.283016,3.118280
0.283651,3.113392
0.284271,3.113392
0.284896,3.103617
0.285518,3.108504
0.286139,3.108504
0.286827,3.113392
0.287490,3.113392
0.288134,3.113392
0.288792,3.113392
0.289422,3.113392
0.290051,3.113392
0.290671,3.113392
0.291296,3.113392
0.291920,3.113392
0.292561,3.113392
0.293191,3.108504
0.293861,3.113392
0.294502,3.118280
0.295160,3.108504
0.295816,3.113392
0.296457,3.113392
0.297087,3.108504
0.297739,3.118280
0.298416,3.113392
0.299074,3.113392
0.299907,3.108504
0.300617,3.113392
0.301432,3.103617
0.302197,3.113392
0.302887,3.118280
0.303696,3.103617
0.304549,3.108504
0.305436,3.118280
0.306173,3.113392
0.306866,3.108504
0.307573,3.113392
0.308295,3.108504
0.308990,3.113392
0.309746,3.113392
0.310582,3.113392
0.311333,3.113392
0.312020,3.123167
0.312714,3.118280
0.313405,3.113392
0.314092,3.118280
0.314801,3.118280
0.315497,3.108504
0.316224,3.113392
0.317075,3.103617
0.317865,3.113392
0.318591,3.108504
0.319303,3.123167
0.320054,3.128055
0.320784,3.108504
0.321534,3.113392
0.322390,3.108504
0.323246,3.113392
0.324179,3.103617
0.325087,3.108504
0.325801,3.108504
0.326494,3.103617
0.327174,3.098729
0.327998,3.113392
0.328865,3.108504
0.329700,3.108504
0.330531,3.108504
0.331335,3.108504
0.332136,3.108504
0.332849,3.113392
0.333560,3.108504
0.334256,3.108504
0.334937,3.108504
0.335677,3.108504
0.336360,3.113392
0.337077,3.113392
0.337797,3.108504
0.338488,3.113392
0.339181,3.108504
0.339875,3.108504
0.340606,3.108504
0.341297,3.103617
0.341937,3.113392
0.342572,3.108504
0.343212,3.113392
0.343882,3.108504
0.344532,3.113392
0.345199,3.103617
0.345839,3.108504
0.346460,3.113392
0.347090,3.113392
0.347722,3.103617
0.348348,3.103617
0.348975,3.108504
0.349600,3.113392
0.350226,3.113392
0.350861,3.113392
0.351540,3.113392
0.352235,3.123167
0.352927,3.108504
0.353596,3.113392
0.354299,3.118280
0.354975,3.108504
