время[c],напряжение[В]
0.000669,3.098729
0.001291,3.108504
0.001942,3.103617
0.002621,3.108504
0.003320,3.108504
0.003990,3.118280
0.004656,3.113392
0.005330,3.113392
0.006003,3.103617
0.006666,3.113392
0.007437,3.113392
0.008108,3.108504
0.008798,3.108504
0.009541,3.113392
0.010270,3.118280
0.010973,3.108504
0.011714,3.118280
0.012399,3.108504
0.013119,3.108504
0.013864,3.108504
0.014564,3.118280
0.015244,3.118280
0.015905,3.113392
0.016530,3.103617
0.017179,3.118280
0.017855,3.108504
0.018542,3.108504
0.019247,3.108504
0.019984,3.118280
0.020726,3.118280
0.021460,3.118280
0.022111,3.118280
0.022777,3.118280
0.023728,3.113392
0.024366,3.113392
0.025019,3.113392
0.025673,3.113392
0.026306,3.113392
0.026989,3.113392
0.027634,3.113392
0.028290,3.108504
0.028993,3.118280
0.029655,3.118280
0.030365,3.123167
0.031059,3.113392
0.031758,3.113392
0.032515,3.113392
0.033223,3.108504
0.033899,3.113392
0.034898,3.108504
0.035683,3.113392
0.036362,3.113392
0.037068,3.118280
0.037768,3.113392
0.038448,3.118280
0.039123,3.123167
0.039782,3.113392
0.040492,3.113392
0.041231,3.108504
0.041982,3.118280
0.042740,3.118280
0.043446,3.113392
0.044108,3.118280
0.044856,3.118280
0.045536,3.118280
0.046163,3.132942
0.046797,3.123167
0.047420,3.123167
0.048002,3.128055
0.048563,3.113392
0.049123,3.128055
0.049711,3.123167
0.050293,3.123167
0.050915,3.128055
0.051485,3.123167
0.052052,3.123167
0.052619,3.123167
0.053222,3.113392
0.053804,3.118280
0.054387,3.113392
0.054957,3.113392
0.055526,3.118280
0.056122,3.113392
0.056726,3.108504
0.057316,3.118280
0.057933,3.113392
0.058617,3.118280
0.059342,3.118280
0.060017,3.118280
0.060693,3.123167
0.061351,3.123167
0.062007,3.123167
0.062667,3.128055
0.063328,3.128055
0.063948,3.118280
0.064548,3.118280
0.065136,3.118280
0.065756,3.113392
0.066410,3.128055
0.067087,3.118280
0.067786,3.123167
0.068437,3.123167
0.069068,3.128055
0.069691,3.123167
0.070328,3.128055
0.070965,3.118280
0.071600,3.113392
0.072241,3.118280
0.072920,3.123167
0.073584,3.128055
0.074289,3.118280
0.074943,3.123167
0.075599,3.113392
0.076228,3.113392
0.076822,3.118280
0.077467,3.108504
0.078099,3.118280
0.078752,3.118280
0.079391,3.123167
0.080053,3.118280
0.080701,3.118280
0.081327,3.123167
0.081975,3.118280
0.082615,3.118280
0.083313,3.118280
0.084062,3.123167
0.084739,3.118280
0.085401,3.118280
0.086047,3.118280
0.086709,3.113392
0.087369,3.113392
0.087997,3.123167
0.088631,3.113392
0.089311,3.113392
0.089973,3.118280
0.090656,3.123167
0.091354,3.123167
0.091996,3.113392
0.092788,3.123167
0.093650,3.113392
0.094484,3.118280
0.095322,3.108504
0.096024,3.118280
0.096695,3.118280
0.097434,3.113392
0.098323,3.118280
0.099144,3.108504
0.099864,3.118280
0.100594,3.113392
0.101330,3.118280
0.102082,3.118280
0.102858,3.123167
0.103644,3.118280
0.104315,3.118280
0.105024,3.113392
0.105805,3.113392
0.106575,3.118280
0.107342,3.118280
0.108099,3.118280
0.108800,3.113392
0.109492,3.108504
0.110280,3.118280
0.111042,3.118280
0.111769,3.123167
0.112504,3.123167
0.113243,3.123167
0.113991,3.123167
0.114690,3.118280
0.115385,3.108504
0.116070,3.113392
0.116779,3.118280
0.117502,3.118280
0.118283,3.113392
0.119086,3.128055
0.119908,3.113392
0.120689,3.118280
0.121422,3.113392
0.122126,3.118280
0.122767,3.118280
0.123559,3.108504
0.124277,3.113392
0.124959,3.108504
0.125671,3.113392
0.126525,3.118280
0.127229,3.113392
0.127907,3.118280
0.128736,3.113392
0.129496,3.123167
0.130206,3.123167
0.130991,3.118280
0.131727,3.123167
0.132409,3.123167
0.133027,3.113392
0.133664,3.113392
0.134338,3.118280
0.134956,3.108504
0.135566,3.118280
0.136181,3.113392
0.136790,3.118280
0.137401,3.118280
0.138002,3.118280
0.138637,3.118280
0.139264,3.123167
0.139879,3.123167
0.140498,3.113392
0.141111,3.118280
0.141718,3.123167
0.142334,3.118280
0.142952,3.113392
0.143636,3.118280
0.144288,3.118280
0.144937,3.123167
0.145585,3.118280
0.146220,3.123167
0.146859,3.118280
0.147493,3.113392
0.148108,3.118280
0.148742,3.118280
0.149343,3.118280
0.149946,3.113392
0.150601,3.113392
0.151286,3.118280
0.151932,3.118280
0.152561,3.118280
0.153265,3.108504
0.153889,3.118280
0.154518,3.118280
0.155144,3.113392
0.155767,3.113392
0.156401,3.113392
0.157037,3.118280
0.157657,3.118280
0.158319,3.113392
0.158934,3.118280
0.159520,3.113392
0.160098,3.123167
0.160694,3.113392
0.161289,3.113392
0.161924,3.118280
0.162575,3.108504
0.163250,3.118280
0.163940,3.118280
0.164593,3.123167
0.165247,3.113392
0.165891,3.123167
0.166518,3.123167
0.167219,3.123167
0.167950,3.118280
0.168757,3.113392
0.169422,3.118280
0.170080,3.118280
0.170761,3.118280
0.171410,3.118280
0.172088,3.113392
0.172743,3.113392
0.173396,3.108504
0.174070,3.108504
0.174740,3.113392
0.175403,3.113392
0.176071,3.118280
0.176702,3.118280
0.177343,3.113392
0.177987,3.118280
0.178627,3.113392
0.179262,3.108504
0.179896,3.113392
0.180553,3.118280
0.181225,3.113392
0.181918,3.113392
0.182571,3.113392
0.183280,3.118280
0.184134,3.123167
0.184799,3.118280
0.185442,3.118280
0.186110,3.118280
0.186834,3.113392
0.187474,3.113392
0.188101,3.118280
0.188752,3.118280
0.189404,3.113392
0.190058,3.108504
0.190735,3.113392
0.191420,3.113392
0.192090,3.113392
0.192762,3.118280
0.193729,3.118280
0.194473,3.128055
0.195197,3.118280
0.195921,3.118280
0.196679,3.118280
0.197366,3.108504
0.198003,3.113392
0.198680,3.118280
0.199345,3.113392
0.200006,3.118280
0.200711,3.118280
0.201474,3.108504
0.202160,3.118280
0.202812,3.113392
0.203565,3.118280
0.204336,3.118280
0.205078,3.113392
0.205832,3.123167
0.206524,3.123167
0.207211,3.118280
0.207856,3.108504
0.208652,3.113392
0.209409,3.118280
0.210180,3.123167
0.210941,3.118280
0.211723,3.118280
0.212415,3.113392
0.213076,3.118280
0.213784,3.128055
0.214576,3.113392
0.215298,3.118280
0.215993,3.118280
