время[c],напряжение[В]
0.000643,2.619746
0.001248,2.624633
0.001870,2.624633
0.002488,2.629521
0.003118,2.624633
0.003741,2.629521
0.004369,2.634409
0.004985,2.629521
0.005612,2.634409
0.006264,2.629521
0.006889,2.629521
0.007519,2.629521
0.008171,2.629521
0.008826,2.639296
0.009524,2.634409
0.010185,2.634409
0.010848,2.634409
0.011516,2.629521
0.012167,2.634409
0.012868,2.634409
0.013563,2.644184
0.014333,2.634409
0.015040,2.639296
0.015764,2.629521
0.016427,2.629521
0.017089,2.634409
0.017734,2.644184
0.018397,2.639296
0.019008,2.639296
0.019600,2.634409
0.020224,2.639296
0.020863,2.639296
0.021556,2.639296
0.022281,2.634409
0.023173,2.634409
0.024148,2.629521
0.024848,2.639296
0.026029,2.644184
0.026978,2.634409
0.027872,2.639296
0.028549,2.634409
0.029248,2.639296
0.029914,2.634409
0.030794,2.639296
0.031561,2.634409
0.032336,2.624633
0.033024,2.629521
0.033696,2.629521
0.034560,2.634409
0.035235,2.624633
0.036173,2.634409
0.036985,2.639296
0.037774,2.634409
0.038817,2.629521
0.039620,2.639296
0.040518,2.634409
0.041181,2.634409
0.041776,2.639296
0.042363,2.639296
0.042948,2.634409
0.043530,2.634409
0.044114,2.634409
0.044695,2.629521
0.045278,2.634409
0.049276,2.639296
0.049926,2.644184
0.050529,2.639296
0.051151,2.639296
0.051799,2.639296
0.052518,2.634409
0.053183,2.644184
0.053852,2.634409
0.054534,2.634409
0.055216,2.634409
0.055897,2.639296
0.056517,2.644184
0.057140,2.639296
0.057762,2.639296
0.058410,2.644184
0.059017,2.639296
0.059618,2.644184
0.060222,2.639296
0.060825,2.639296
0.061433,2.639296
0.062062,2.639296
0.062672,2.639296
0.063305,2.639296
0.063906,2.639296
0.064560,2.644184
0.065195,2.634409
0.065893,2.639296
0.066564,2.644184
0.067213,2.639296
0.067876,2.634409
0.068499,2.634409
0.069163,2.644184
0.069811,2.639296
0.070446,2.634409
0.071107,2.634409
0.071740,2.629521
0.072411,2.639296
0.073111,2.629521
0.073727,2.639296
0.074408,2.639296
0.075048,2.634409
0.075694,2.634409
0.076363,2.639296
0.077026,2.639296
0.077631,2.634409
0.078215,2.634409
0.078833,2.634409
0.079450,2.639296
0.080095,2.639296
0.080699,2.634409
0.081298,2.634409
0.081902,2.639296
0.082528,2.629521
0.083162,2.639296
0.083782,2.639296
0.084384,2.634409
0.085004,2.634409
0.085813,2.634409
0.086528,2.634409
0.087290,2.629521
0.088064,2.634409
0.088752,2.629521
0.089625,2.639296
0.090534,2.629521
0.091281,2.639296
0.092050,2.639296
0.092796,2.634409
0.093521,2.629521
0.094241,2.634409
0.095094,2.634409
0.095897,2.629521
0.096676,2.639296
0.097395,2.639296
0.098043,2.644184
0.098696,2.639296
0.099379,2.634409
0.100013,2.639296
0.100699,2.639296
0.101348,2.644184
0.102086,2.639296
0.102773,2.639296
0.103698,2.639296
0.104450,2.634409
0.105085,2.634409
0.105787,2.634409
0.106527,2.639296
0.107402,2.644184
0.108203,2.634409
0.109116,2.639296
0.109942,2.634409
0.110736,2.639296
0.111532,2.644184
0.112250,2.629521
0.112910,2.634409
0.113587,2.634409
0.114284,2.639296
0.114956,2.624633
0.115664,2.634409
0.116439,2.629521
0.117191,2.639296
0.117851,2.639296
0.118553,2.634409
0.119237,2.634409
0.119936,2.639296
0.120607,2.629521
0.121263,2.634409
0.121965,2.634409
0.122740,2.634409
0.123559,2.634409
0.124472,2.634409
0.125285,2.629521
0.126175,2.634409
0.126949,2.629521
0.127626,2.634409
0.128314,2.634409
0.129003,2.634409
