время[c],напряжение[В]
0.230639,1.940371
0.231306,1.940371
0.231968,1.940371
0.232645,1.940371
0.233304,1.940371
0.233985,1.940371
0.234691,1.940371
0.235368,1.935484
0.236076,1.935484
0.236809,1.935484
0.237481,1.940371
0.238175,1.940371
0.238867,1.935484
0.239530,1.935484
0.240178,1.935484
0.240851,1.935484
0.241530,1.945259
0.242187,1.940371
0.242895,1.930596
0.243568,1.940371
0.244265,1.940371
0.244910,1.940371
0.245569,1.940371
0.246280,1.945259
0.246989,1.945259
0.247685,1.940371
0.248321,1.940371
0.248980,1.940371
0.249667,1.940371
0.250326,1.940371
0.250981,1.940371
0.251628,1.935484
0.253184,1.940371
0.253861,1.940371
0.254572,1.935484
0.255209,1.940371
0.255872,1.935484
0.256542,1.940371
0.257199,1.940371
0.257874,1.940371
0.258550,1.940371
0.259232,1.940371
0.259884,1.940371
0.260547,1.940371
0.261249,1.940371
0.261977,1.940371
0.262644,1.940371
0.263303,1.935484
0.263994,1.940371
0.264653,1.935484
0.265308,1.950147
0.265989,1.945259
0.266676,1.940371
0.267362,1.940371
0.268045,1.940371
0.268727,1.945259
0.269418,1.940371
0.270126,1.940371
0.270812,1.940371
0.271480,1.940371
0.272128,1.940371
0.272829,1.935484
0.273471,1.945259
0.275742,1.945259
0.276542,1.935484
0.277384,1.940371
0.278104,1.940371
0.278936,1.940371
0.279826,1.935484
0.280621,1.930596
0.281368,1.940371
0.282084,1.940371
0.282810,1.935484
0.283563,1.935484
0.284299,1.925709
0.285100,1.940371
0.285884,1.935484
0.286645,1.935484
0.287403,1.940371
0.288208,1.930596
0.289064,1.940371
0.289788,1.930596
0.290593,1.935484
0.291331,1.940371
0.292008,1.935484
0.292691,1.940371
0.293370,1.945259
0.294042,1.940371
0.294737,1.935484
0.295477,1.935484
0.296254,1.930596
0.297030,1.935484
0.297929,1.935484
0.299047,1.935484
0.299877,1.935484
0.300749,1.935484
0.301679,1.940371
0.302618,1.935484
0.303407,1.935484
0.304301,1.940371
0.305177,1.940371
0.305910,1.935484
0.306607,1.935484
0.307330,1.940371
0.308055,1.935484
0.308747,1.935484
0.309444,1.940371
0.310176,1.940371
0.310885,1.935484
0.311602,1.940371
0.312332,1.935484
0.313076,1.935484
0.313780,1.940371
0.314521,1.930596
0.315235,1.935484
0.315895,1.930596
0.316604,1.935484
0.317320,1.940371
0.318063,1.940371
0.318801,1.940371
0.319528,1.935484
0.320245,1.940371
0.320988,1.935484
0.321734,1.940371
0.322470,1.935484
0.323235,1.935484
0.323964,1.935484
0.324675,1.940371
0.325375,1.935484
0.326125,1.935484
0.326911,1.940371
0.327627,1.935484
0.328346,1.930596
0.328999,1.930596
0.329730,1.935484
0.330495,1.940371
0.331213,1.940371
0.331944,1.935484
0.332668,1.940371
0.333338,1.935484
0.334002,1.930596
0.334678,1.940371
0.335366,1.935484
0.336028,1.930596
0.336758,1.930596
0.337487,1.940371
0.338166,1.930596
0.338835,1.940371
0.339499,1.940371
0.340166,1.940371
0.340821,1.935484
0.341504,1.940371
0.342167,1.940371
0.342831,1.935484
0.343516,1.935484
0.344193,1.935484
0.344862,1.940371
0.345538,1.935484
0.346245,1.940371
0.346928,1.940371
0.347644,1.935484
0.348302,1.935484
0.348985,1.930596
0.349653,1.930596
0.350402,1.940371
0.351129,1.940371
0.351877,1.935484
0.352627,1.935484
0.353358,1.945259
0.354098,1.940371
0.354845,1.935484
0.355579,1.940371
0.356464,1.935484
0.357187,1.935484
0.357917,1.935484
0.358644,1.930596
0.359358,1.935484
0.360061,1.935484
0.360798,1.940371
0.361529,1.935484
0.362282,1.935484
0.363028,1.935484
0.363778,1.940371
0.364505,1.935484
0.365229,1.935484
0.365956,1.940371
0.366719,1.935484
0.367456,1.935484
0.368209,1.935484
0.368949,1.940371
0.369669,1.945259
0.370384,1.935484
0.371112,1.935484
0.371811,1.935484
0.372555,1.935484
0.373283,1.935484
0.374002,1.935484
0.374752,1.935484
0.375510,1.935484
0.376293,1.930596
0.377082,1.930596
0.377814,1.935484
0.378560,1.935484
0.379339,1.940371
0.380125,1.935484
0.380863,1.940371
0.381602,1.940371
0.382285,1.940371
0.383096,1.940371
0.383911,1.940371
0.384758,1.935484
0.385618,1.935484
0.386427,1.935484
0.387197,1.935484
0.388024,1.935484
0.388808,1.935484
0.389534,1.935484
0.390280,1.935484
0.391073,1.935484
0.391951,1.940371
0.392826,1.930596
0.393559,1.935484
0.394381,1.935484
0.395208,1.940371
0.395918,1.940371
0.396631,1.940371
0.397425,1.940371
0.398327,1.935484
0.399237,1.945259
0.399979,1.935484
0.400662,1.940371
0.401451,1.935484
0.402165,1.935484
0.402900,1.940371
0.403656,1.925709
0.404388,1.935484
0.405118,1.935484
0.405847,1.940371
0.406570,1.935484
0.407338,1.935484
0.408091,1.935484
0.408869,1.940371
0.409662,1.940371
0.410417,1.935484
0.411181,1.940371
0.411879,1.940371
0.412560,1.940371
0.413265,1.940371
0.414015,1.940371
0.414760,1.930596
0.415480,1.940371
0.416262,1.940371
0.417075,1.935484
0.417766,1.930596
0.418550,1.935484
0.419208,1.940371
0.419843,1.940371
0.420473,1.940371
0.421072,1.935484
0.421663,1.935484
0.422253,1.935484
0.422853,1.935484
0.423447,1.935484
0.424061,1.945259
0.424665,1.930596
0.425256,1.935484
0.425940,1.940371
0.426583,1.945259
0.427193,1.945259
0.427830,1.950147
0.428470,1.940371
0.429101,1.940371
0.429783,1.935484
0.430447,1.935484
0.431122,1.940371
0.431787,1.935484
0.432471,1.940371
0.433137,1.940371
0.433807,1.935484
0.434486,1.935484
0.435151,1.940371
0.435824,1.940371
0.436488,1.930596
0.437183,1.935484
0.437875,1.940371
0.438547,1.940371
0.439195,1.945259
0.439826,1.940371
0.440548,1.940371
0.441216,1.935484
0.441850,1.940371
0.442523,1.940371
0.443194,1.940371
0.443926,1.940371
0.444590,1.945259
0.445303,1.940371
0.445967,1.940371
0.446645,1.940371
0.447332,1.935484
0.448017,1.935484
0.448714,1.935484
0.449415,1.935484
0.450081,1.940371
0.450716,1.940371
0.451360,1.945259
0.452008,1.940371
0.452695,1.945259
0.453372,1.940371
0.454052,1.945259
0.454743,1.940371
0.455429,1.940371
0.456198,1.940371
0.456923,1.940371
0.457614,1.935484
0.458343,1.945259
0.459022,1.935484
0.459720,1.945259
0.460396,1.930596
0.461105,1.940371
0.461807,1.940371
0.462512,1.935484
0.463225,1.945259
0.463916,1.945259
0.464614,1.930596
0.465325,1.940371
0.466027,1.935484
0.466940,1.940371
0.467628,1.935484
0.468430,1.940371
0.469290,1.940371
0.470077,1.940371
0.470823,1.940371
0.471569,1.940371
0.472332,1.940371
0.473099,1.940371
0.473851,1.940371
0.474570,1.940371
0.475261,1.935484
0.475947,1.935484
0.476656,1.935484
0.477401,1.935484
0.478164,1.940371
0.478917,1.940371
0.479708,1.935484
0.480459,1.940371
0.481215,1.940371
0.481947,1.935484
0.482712,1.940371
0.483457,1.940371
0.484201,1.940371
0.484916,1.935484
0.485665,1.940371
0.486335,1.940371
0.487095,1.945259
0.487853,1.935484
0.488578,1.940371
0.489316,1.940371
0.490075,1.940371
0.490832,1.940371
0.491594,1.945259
0.492342,1.935484
0.493063,1.935484
0.493820,1.940371
0.494547,1.940371
0.495277,1.935484
0.496032,1.940371
0.496765,1.940371
0.497496,1.940371
0.498228,1.935484
0.498974,1.940371
0.499700,1.940371
0.500422,1.940371
0.501164,1.935484
0.501841,1.935484
0.502576,1.935484
0.503322,1.940371
0.504288,1.940371
0.505133,1.935484
0.505946,1.940371
0.506879,1.940371
0.507703,1.940371
0.508478,1.940371
0.509212,1.940371
0.509917,1.940371
0.510647,1.940371
0.511351,1.940371
0.512074,1.940371
0.512802,1.940371
0.513533,1.940371
0.514256,1.930596
0.514942,1.935484
0.515648,1.935484
0.516398,1.935484
0.517142,1.935484
0.517889,1.940371
0.518615,1.940371
0.519375,1.940371
0.520125,1.940371
0.520885,1.940371
0.521605,1.935484
0.522331,1.935484
0.523064,1.945259
0.523863,1.940371
0.524598,1.940371
0.525328,1.945259
0.526058,1.945259
0.526819,1.940371
0.527562,1.935484
0.528323,1.940371
0.529039,1.935484
0.529804,1.935484
0.530533,1.940371
0.531305,1.935484
0.532038,1.940371
0.532781,1.935484
0.533556,1.935484
0.534282,1.945259
0.535018,1.940371
0.535760,1.935484
0.536507,1.940371
0.537187,1.935484
0.537860,1.940371
0.538539,1.935484
0.539218,1.940371
0.539884,1.945259
0.540536,1.940371
0.541208,1.940371
0.541879,1.940371
0.542556,1.935484
0.543265,1.935484
0.543942,1.945259
0.544641,1.940371
0.545321,1.940371
0.545983,1.940371
0.546698,1.935484
0.547430,1.935484
0.548090,1.935484
0.548823,1.945259
0.549489,1.940371
0.550157,1.940371
0.550808,1.940371
0.551452,1.930596
0.552117,1.940371
0.552809,1.940371
0.553481,1.945259
0.554131,1.935484
0.554809,1.935484
0.555485,1.940371
0.556151,1.940371
0.556859,1.935484
0.557575,1.940371
0.558224,1.940371
0.558874,1.945259
0.559556,1.945259
0.560219,1.940371
0.560885,1.940371
0.561583,1.935484
0.562270,1.940371
0.563011,1.940371
0.563737,1.940371
0.564423,1.935484
0.565098,1.940371
0.565784,1.935484
0.566463,1.945259
0.567122,1.940371
0.567822,1.935484
0.568490,1.945259
0.569210,1.930596
0.569958,1.940371
0.570671,1.935484
0.571436,1.940371
0.572227,1.935484
0.572994,1.940371
0.573767,1.940371
0.574536,1.945259
0.575277,1.935484
0.576007,1.935484
0.576712,1.935484
0.577561,1.935484
0.578423,1.940371
0.579297,1.935484
0.580133,1.935484
0.580943,1.940371
0.581789,1.935484
0.582598,1.930596
0.583396,1.940371
0.584270,1.940371
0.585042,1.940371
0.585862,1.945259
0.586647,1.945259
0.587456,1.935484
0.588244,1.940371
0.589129,1.940371
0.590089,1.935484
0.591007,1.940371
0.591994,1.935484
0.592731,1.935484
0.593439,1.945259
0.594201,1.940371
0.594984,1.940371
0.595795,1.935484
0.596590,1.940371
0.597392,1.935484
0.598166,1.935484
0.599022,1.935484
0.599833,1.945259
0.600682,1.940371
0.601480,1.940371
0.602325,1.940371
0.603177,1.940371
0.603907,1.940371
0.604594,1.945259
0.605264,1.940371
0.605977,1.945259
0.606689,1.940371
0.607417,1.940371
0.608282,1.940371
0.609118,1.940371
0.609947,1.940371
0.610694,1.940371
0.611422,1.940371
0.612121,1.935484
0.612790,1.935484
0.613463,1.935484
0.614098,1.935484
0.614733,1.930596
0.615364,1.935484
0.615997,1.935484
0.616709,1.935484
0.617385,1.940371
0.618037,1.935484
0.618708,1.935484
0.619340,1.935484
0.619964,1.935484
0.620646,1.940371
0.621289,1.940371
0.621920,1.940371
0.622549,1.935484
0.623185,1.935484
0.623814,1.930596
0.624478,1.935484
0.625112,1.935484
0.625746,1.940371
0.626371,1.940371
0.626988,1.935484
0.627597,1.935484
0.628209,1.940371
0.628858,1.935484
0.629515,1.940371
0.630170,1.940371
0.630842,1.935484
0.631509,1.935484
0.632234,1.940371
0.632913,1.935484
0.633520,1.935484
0.634084,1.940371
0.634648,1.935484
0.635208,1.940371
0.635770,1.945259
0.636337,1.940371
0.636929,1.940371
0.637512,1.940371
0.638128,1.950147
0.638737,1.945259
0.639331,1.945259
0.639958,1.945259
0.640609,1.945259
0.641239,1.950147
0.641874,1.945259
0.642588,1.945259
0.643278,1.940371
0.643968,1.940371
0.644643,1.940371
0.645340,1.945259
0.646069,1.940371
0.646791,1.945259
0.647487,1.940371
0.648166,1.945259
0.648847,1.945259
0.649578,1.940371
0.650238,1.940371
0.651018,1.945259
0.651679,1.945259
0.652354,1.945259
0.653035,1.940371
0.653793,1.940371
0.654490,1.945259
0.655203,1.935484
0.655963,1.945259
0.656675,1.945259
0.657399,1.945259
0.658094,1.940371
0.658796,1.940371
0.659479,1.945259
0.660164,1.945259
0.660855,1.935484
0.661588,1.940371
0.662288,1.940371
0.662954,1.940371
0.663675,1.940371
0.664357,1.940371
0.665103,1.935484
0.665731,1.940371
0.666372,1.940371
0.667087,1.940371
0.667751,1.940371
0.668429,1.940371
0.669097,1.940371
0.669797,1.945259
0.670531,1.945259
0.671244,1.940371
0.671977,1.940371
0.672679,1.935484
0.673394,1.940371
0.674066,1.940371
0.674750,1.935484
0.675535,1.940371
0.676359,1.935484
0.677185,1.940371
0.677974,1.940371
0.678664,1.940371
0.679354,1.935484
0.680048,1.935484
0.680717,1.935484
0.681386,1.935484
0.682070,1.935484
0.682741,1.940371
0.683383,1.930596
0.684035,1.935484
0.684736,1.935484
0.685408,1.935484
0.686061,1.930596
0.686862,1.935484
0.687688,1.940371
0.688437,1.940371
0.689112,1.930596
0.689945,1.940371
0.690833,1.935484
0.691718,1.935484
0.692631,1.930596
0.693449,1.935484
0.694175,1.940371
0.694888,1.935484
0.695582,1.935484
0.696288,1.935484
0.697060,1.935484
0.697838,1.940371
0.698605,1.940371
0.699361,1.935484
0.700151,1.940371
0.700943,1.930596
0.701737,1.935484
0.702528,1.940371
0.703248,1.940371
0.704020,1.935484
0.704843,1.935484
0.705597,1.940371
0.706379,1.940371
0.707111,1.940371
0.707909,1.935484
0.708770,1.935484
0.709635,1.930596
0.710353,1.935484
0.711150,1.940371
0.711943,1.935484
0.712926,1.940371
0.713701,1.935484
0.714459,1.940371
0.715274,1.935484
0.715974,1.940371
0.716660,1.940371
0.717475,1.940371
0.718266,1.935484
0.719038,1.935484
0.719921,1.940371
0.720794,1.935484
0.721647,1.940371
0.722497,1.940371
0.723342,1.935484
0.724165,1.940371
0.725026,1.935484
0.725941,1.940371
0.726860,1.935484
0.727786,1.940371
0.728620,1.935484
0.729455,1.935484
0.730135,1.935484
0.730831,1.935484
0.731475,1.940371
0.732112,1.935484
0.732753,1.935484
0.733386,1.940371
0.734016,1.935484
0.734648,1.935484
0.735278,1.935484
0.735925,1.940371
0.736555,1.940371
0.737206,1.935484
0.737828,1.935484
0.738467,1.935484
0.739117,1.935484
0.739788,1.940371
0.740476,1.930596
0.741118,1.935484
0.741761,1.935484
0.742405,1.935484
0.743052,1.935484
0.743698,1.940371
0.744340,1.935484
0.744988,1.935484
0.745667,1.935484
0.746303,1.940371
0.747015,1.935484
0.747699,1.935484
0.748375,1.935484
0.749074,1.940371
0.749771,1.935484
0.750457,1.935484
0.751143,1.935484
0.751790,1.940371
0.752465,1.940371
0.753180,1.940371
0.753861,1.930596
0.754616,1.940371
0.755299,1.930596
0.756008,1.930596
0.756665,1.930596
0.757355,1.930596
0.758063,1.935484
0.758878,1.940371
0.759551,1.935484
0.760325,1.935484
0.760991,1.935484
0.761753,1.935484
0.762426,1.940371
0.763182,1.935484
0.763842,1.935484
0.764641,1.935484
0.765315,1.940371
0.766107,1.935484
0.766770,1.935484
0.767559,1.935484
0.768232,1.935484
0.769012,1.935484
0.769675,1.930596
0.770413,1.940371
0.771130,1.935484
0.771911,1.935484
0.772736,1.935484
0.773513,1.940371
0.774327,1.935484
0.775122,1.935484
0.775900,1.935484
0.776651,1.935484
0.777496,1.940371
0.778352,1.940371
0.779164,1.935484
0.779933,1.940371
0.780616,1.935484
0.781290,1.935484
0.781977,1.930596
0.782656,1.935484
0.783306,1.935484
0.783944,1.930596
0.784601,1.935484
0.785269,1.935484
0.785933,1.935484
0.786612,1.935484
0.787301,1.935484
0.787997,1.935484
0.788640,1.935484
0.789268,1.935484
0.789920,1.935484
0.790607,1.940371
0.791255,1.940371
0.791899,1.940371
0.792547,1.935484
0.793184,1.935484
0.793826,1.940371
0.794481,1.935484
0.795116,1.930596
0.795770,1.930596
0.796446,1.930596
0.797194,1.935484
0.797929,1.940371
0.798653,1.940371
0.799357,1.935484
0.800082,1.940371
0.800783,1.940371
0.801493,1.935484
0.802166,1.935484
0.802860,1.935484
0.803563,1.940371
0.804328,1.935484
0.805044,1.940371
0.805739,1.940371
0.806420,1.935484
0.807109,1.935484
0.807815,1.935484
0.808487,1.935484
0.809123,1.935484
0.809800,1.940371
0.810466,1.935484
0.811164,1.940371
0.811789,1.940371
0.812483,1.940371
0.813178,1.940371
0.814030,1.935484
0.814850,1.940371
0.815617,1.935484
0.816293,1.930596
0.816915,1.935484
0.817564,1.930596
0.818288,1.940371
