время[c],напряжение[В]
0.226501,3.084066
0.227114,3.084066
0.227676,3.084066
0.228230,3.088954
0.228782,3.088954
0.229339,3.084066
0.229893,3.088954
0.230452,3.088954
0.231020,3.084066
0.231596,3.088954
0.232179,3.079179
0.232846,3.074291
0.233460,3.079179
0.234091,3.074291
0.234715,3.084066
0.235353,3.084066
0.235978,3.079179
0.236622,3.079179
0.237238,3.079179
0.237855,3.088954
0.238439,3.084066
0.239005,3.088954
0.239602,3.074291
0.240176,3.079179
0.240749,3.079179
0.241316,3.079179
0.241907,3.079179
0.242483,3.088954
0.243108,3.074291
0.243733,3.074291
0.244343,3.069404
0.244978,3.079179
0.245626,3.079179
0.246226,3.084066
0.246809,3.079179
0.247381,3.079179
0.247958,3.084066
0.248523,3.079179
0.249128,3.074291
0.249881,3.079179
0.250649,3.079179
0.251506,3.079179
0.252242,3.079179
0.252914,3.069404
0.253581,3.074291
0.254252,3.069404
0.254891,3.079179
0.255533,3.079179
0.256198,3.069404
0.256835,3.074291
0.257471,3.069404
0.258106,3.074291
0.258744,3.074291
0.259394,3.074291
0.260036,3.074291
0.260683,3.074291
0.261366,3.079179
0.262027,3.079179
0.262713,3.074291
0.263471,3.084066
0.264205,3.074291
0.264956,3.069404
0.265684,3.064516
0.266415,3.069404
0.267108,3.069404
0.267762,3.079179
0.268409,3.079179
0.269056,3.074291
0.269736,3.079179
0.270506,3.069404
0.271312,3.079179
0.272105,3.074291
0.272858,3.079179
0.273548,3.084066
0.274262,3.074291
0.274997,3.074291
0.275693,3.074291
0.276394,3.064516
0.277163,3.074291
0.278004,3.074291
0.278960,3.074291
0.279767,3.079179
0.280543,3.079179
0.281437,3.074291
0.282215,3.069404
0.283032,3.079179
0.283842,3.079179
0.284595,3.074291
0.285280,3.079179
0.285936,3.069404
0.286577,3.074291
0.287231,3.069404
0.287905,3.074291
0.288559,3.069404
0.289218,3.079179
0.289864,3.069404
0.290504,3.084066
0.291147,3.069404
0.291774,3.079179
0.292409,3.069404
0.293050,3.079179
0.293702,3.074291
0.294345,3.074291
0.294997,3.079179
0.296058,3.079179
0.297017,3.074291
0.297667,3.069404
0.298326,3.079179
0.298980,3.074291
0.299624,3.074291
0.300261,3.079179
0.300908,3.069404
0.301545,3.074291
0.302178,3.074291
0.302825,3.069404
0.303462,3.069404
0.304128,3.074291
0.304794,3.069404
0.305499,3.074291
0.306131,3.074291
0.306769,3.074291
0.307401,3.069404
0.308049,3.074291
0.308692,3.074291
0.309362,3.074291
0.310056,3.074291
0.310754,3.074291
0.311431,3.074291
0.312110,3.069404
0.312791,3.079179
0.313420,3.074291
0.314059,3.064516
0.314701,3.074291
0.315338,3.074291
0.315977,3.069404
0.316616,3.069404
0.317242,3.074291
0.317911,3.079179
0.318551,3.079179
0.319200,3.069404
0.319829,3.069404
0.320490,3.069404
0.321146,3.074291
0.321780,3.079179
0.322442,3.069404
0.323135,3.074291
0.323771,3.074291
0.324409,3.079179
0.325068,3.069404
0.325711,3.074291
0.326346,3.079179
0.326988,3.079179
0.327645,3.079179
0.328393,3.079179
0.329130,3.069404
0.329889,3.069404
0.330626,3.069404
0.331358,3.074291
0.332086,3.069404
0.332826,3.079179
0.333529,3.074291
0.334229,3.074291
0.334951,3.069404
0.335579,3.079179
0.336260,3.074291
0.336931,3.074291
0.337702,3.079179
0.338502,3.074291
0.339306,3.079179
0.339989,3.069404
0.340640,3.074291
0.341352,3.074291
0.342158,3.079179
0.342870,3.069404
0.343554,3.069404
0.344255,3.069404
0.344984,3.074291
0.345620,3.079179
0.346256,3.069404
0.346907,3.069404
0.347586,3.074291
0.348258,3.079179
0.348952,3.074291
0.349614,3.069404
0.350264,3.069404
0.350908,3.064516
0.351558,3.074291
0.355819,3.079179
0.358553,3.088954
0.359141,3.079179
0.359738,3.079179
0.360333,3.079179
0.360918,3.079179
0.361578,3.079179
0.362235,3.084066
0.362881,3.079179
0.363481,3.074291
0.364058,3.079179
0.364666,3.079179
0.365249,3.079179
0.365855,3.074291
0.366446,3.088954
0.367075,3.074291
0.367728,3.074291
0.368393,3.079179
0.369066,3.074291
0.369736,3.069404
0.370375,3.084066
0.371007,3.084066
0.371660,3.084066
0.372330,3.079179
0.372954,3.079179
0.373617,3.079179
0.374242,3.079179
0.374896,3.084066
0.375562,3.079179
0.376187,3.079179
0.376828,3.084066
0.377463,3.079179
0.378142,3.074291
0.379011,3.079179
0.379868,3.069404
0.380704,3.079179
0.381375,3.074291
0.382143,3.079179
0.382920,3.074291
0.383835,3.084066
0.384635,3.074291
0.385408,3.074291
0.386081,3.079179
0.386736,3.074291
0.387408,3.074291
0.388072,3.069404
0.388806,3.069404
0.389577,3.074291
0.390372,3.074291
0.391193,3.074291
0.391893,3.074291
0.392572,3.079179
0.393246,3.079179
0.393937,3.074291
0.394582,3.069404
0.395297,3.069404
0.396113,3.074291
0.396905,3.069404
0.397768,3.074291
0.398509,3.074291
0.399209,3.079179
0.399854,3.069404
0.400659,3.074291
0.401669,3.074291
0.402472,3.079179
0.403374,3.074291
0.404140,3.079179
0.404888,3.079179
0.405566,3.084066
0.406226,3.074291
0.406875,3.074291
0.407512,3.074291
0.408212,3.074291
0.408845,3.074291
0.409481,3.079179
0.410117,3.074291
0.410755,3.074291
0.411397,3.074291
0.412064,3.069404
0.412740,3.079179
0.413386,3.074291
0.414031,3.074291
0.414672,3.069404
0.415313,3.074291
0.415947,3.069404
0.416589,3.074291
0.417221,3.074291
0.417862,3.074291
0.418620,3.069404
0.419332,3.069404
0.420025,3.074291
0.420698,3.074291
0.421385,3.069404
0.422121,3.079179
0.422907,3.074291
0.423572,3.084066
0.424197,3.074291
0.424871,3.074291
0.425532,3.079179
0.426222,3.069404
0.426904,3.079179
0.427552,3.069404
0.428215,3.069404
0.428944,3.074291
0.429599,3.074291
0.430242,3.069404
0.430895,3.064516
0.431576,3.074291
0.432229,3.074291
0.433072,3.074291
0.434111,3.079179
0.434975,3.074291
0.435786,3.079179
0.436589,3.069404
0.437279,3.079179
0.437945,3.074291
0.438609,3.074291
0.439249,3.064516
0.439921,3.074291
0.440557,3.069404
0.441196,3.084066
0.441837,3.074291
0.442532,3.079179
0.443172,3.074291
0.443818,3.069404
0.444467,3.069404
0.445133,3.079179
0.445771,3.074291
0.446407,3.079179
0.447058,3.069404
0.447704,3.079179
0.448342,3.069404
0.448973,3.069404
0.449621,3.069404
0.450251,3.074291
0.450922,3.069404
0.451573,3.079179
0.452282,3.074291
0.452929,3.069404
0.453561,3.074291
0.454209,3.069404
0.454873,3.069404
0.455521,3.074291
0.456178,3.074291
0.456827,3.079179
0.457487,3.069404
0.458133,3.079179
0.458765,3.069404
0.459399,3.079179
0.460037,3.074291
0.460683,3.074291
0.461486,3.074291
0.462189,3.079179
0.464640,3.079179
0.465351,3.074291
0.466062,3.084066
0.466758,3.079179
0.467423,3.074291
0.468106,3.069404
0.468767,3.074291
0.469411,3.074291
0.470120,3.069404
0.470834,3.079179
0.471552,3.079179
0.472265,3.069404
0.472981,3.079179
0.473704,3.069404
0.474426,3.079179
0.475182,3.074291
0.475877,3.079179
0.476561,3.069404
0.477282,3.069404
0.477969,3.069404
0.478659,3.079179
0.479370,3.069404
0.480086,3.074291
0.480772,3.074291
0.481452,3.074291
0.482140,3.084066
0.482812,3.084066
0.483519,3.074291
0.484234,3.079179
0.484975,3.064516
0.485648,3.069404
0.486347,3.079179
0.487033,3.079179
0.487755,3.074291
0.488437,3.074291
0.489147,3.069404
0.489840,3.074291
0.490553,3.074291
0.491247,3.074291
0.491940,3.074291
0.492691,3.069404
0.493391,3.074291
0.494118,3.064516
0.494896,3.074291
0.495618,3.074291
0.496391,3.079179
0.497094,3.074291
0.497812,3.064516
0.498519,3.069404
0.499241,3.079179
0.500005,3.079179
0.500726,3.074291
0.501431,3.079179
0.502142,3.079179
0.502830,3.074291
0.503534,3.074291
0.504268,3.074291
0.504995,3.069404
0.505693,3.069404
0.506385,3.074291
0.507069,3.069404
0.507764,3.084066
0.508479,3.084066
0.509188,3.069404
0.509891,3.074291
0.510601,3.069404
0.511352,3.074291
0.512045,3.074291
