время[c],напряжение[В]
0.000636,0.938416
0.001227,0.943304
0.001831,0.943304
0.002430,0.943304
0.003063,0.943304
0.003681,0.938416
0.004334,0.943304
0.004996,0.943304
0.005648,0.943304
0.006316,0.943304
0.006979,0.943304
0.007907,0.943304
0.008569,0.943304
0.009228,0.943304
0.009875,0.943304
0.010560,0.943304
0.011221,0.943304
0.011928,0.943304
0.012594,0.943304
0.013281,0.943304
0.013958,0.943304
0.014682,0.943304
0.015344,0.938416
0.016021,0.948192
0.016664,0.943304
0.017450,0.943304
0.018171,0.943304
0.018868,0.938416
0.019597,0.943304
0.020289,0.943304
0.020987,0.943304
0.021618,0.943304
0.022269,0.943304
0.023613,0.943304
0.024351,0.943304
0.025008,0.943304
0.025674,0.943304
0.026429,0.948192
0.027118,0.943304
0.027851,0.943304
0.028490,0.948192
0.029254,0.948192
0.029894,0.943304
0.030540,0.948192
0.031202,0.938416
0.031827,0.948192
0.032479,0.943304
0.033142,0.943304
0.033794,0.943304
0.034436,0.943304
0.035065,0.948192
0.035706,0.943304
0.036334,0.943304
0.037063,0.948192
0.037991,0.943304
0.038778,0.938416
0.039448,0.938416
0.040123,0.943304
0.040808,0.943304
0.041463,0.948192
0.042112,0.943304
0.042680,0.943304
0.043236,0.948192
0.043800,0.943304
0.044362,0.948192
0.044919,0.948192
0.045475,0.943304
0.046035,0.943304
0.046593,0.943304
0.047153,0.948192
0.047750,0.943304
0.048311,0.948192
0.048915,0.948192
0.049576,0.948192
0.050193,0.948192
0.050814,0.943304
0.051450,0.943304
0.052075,0.943304
0.052674,0.943304
0.053300,0.943304
0.053903,0.943304
0.054505,0.943304
0.056046,0.948192
0.056778,0.943304
0.057493,0.943304
0.058181,0.943304
0.058829,0.943304
0.059551,0.948192
0.060217,0.943304
0.060906,0.948192
0.061590,0.943304
0.062266,0.948192
0.062937,0.943304
0.063621,0.948192
0.064334,0.943304
0.065018,0.948192
0.065708,0.943304
0.066336,0.948192
0.066963,0.943304
0.067642,0.943304
0.068426,0.953079
0.069122,0.948192
0.069828,0.948192
0.070515,0.948192
0.071205,0.943304
0.071873,0.943304
0.072506,0.948192
0.073221,0.943304
0.073936,0.948192
0.074596,0.943304
0.075294,0.948192
0.075983,0.948192
0.076657,0.943304
0.077309,0.948192
0.077945,0.943304
0.078816,0.948192
0.079528,0.938416
0.080237,0.943304
0.080920,0.943304
0.081563,0.943304
0.082299,0.938416
0.083275,0.948192
0.084172,0.943304
0.085020,0.948192
0.085825,0.943304
0.086588,0.943304
0.087398,0.943304
0.088126,0.943304
0.088823,0.943304
0.089625,0.948192
0.090597,0.948192
0.091530,0.943304
0.092390,0.948192
