время[c],напряжение[В]
0.000695,3.054741
0.001300,3.064516
0.001944,3.059629
0.002618,3.064516
0.003269,3.064516
0.003928,3.069404
0.004598,3.069404
0.005286,3.069404
0.006021,3.069404
0.006750,3.069404
0.007474,3.074291
0.008205,3.069404
0.008919,3.069404
0.009964,3.079179
0.010717,3.079179
0.011447,3.074291
0.012146,3.069404
0.012865,3.074291
0.013536,3.074291
0.014209,3.074291
0.014885,3.069404
0.015598,3.069404
0.016339,3.074291
0.017083,3.069404
0.017749,3.079179
0.018487,3.074291
0.019242,3.064516
0.019986,3.069404
0.020824,3.074291
0.021543,3.074291
0.022272,3.064516
0.022980,3.074291
0.023742,3.074291
0.024493,3.069404
0.025206,3.074291
0.025918,3.069404
0.026616,3.074291
0.027297,3.079179
0.027976,3.069404
0.028773,3.074291
0.029575,3.084066
0.030330,3.074291
0.031074,3.084066
0.031780,3.074291
0.032498,3.074291
0.033145,3.079179
0.036802,3.088954
0.037424,3.079179
0.037992,3.079179
0.038568,3.079179
0.039143,3.084066
0.039774,3.084066
0.040388,3.079179
0.040975,3.074291
0.041539,3.069404
0.042152,3.074291
0.042795,3.069404
0.043459,3.069404
0.044106,3.074291
0.044753,3.074291
0.045408,3.074291
0.046107,3.079179
0.046781,3.069404
0.047501,3.079179
0.048226,3.079179
0.048996,3.079179
0.049677,3.079179
0.050384,3.074291
0.051032,3.079179
0.051724,3.074291
0.052397,3.079179
0.053907,3.079179
0.054902,3.074291
0.055643,3.079179
0.056325,3.069404
0.056989,3.069404
0.057657,3.079179
0.058360,3.069404
0.059085,3.079179
0.059789,3.074291
0.060471,3.079179
0.061141,3.069404
0.061852,3.064516
0.062534,3.074291
0.063222,3.074291
0.063912,3.074291
0.064594,3.074291
0.065291,3.079179
0.065998,3.074291
0.066708,3.074291
0.067391,3.079179
0.068082,3.084066
0.068722,3.079179
0.069359,3.074291
0.070037,3.079179
0.070726,3.079179
0.071417,3.074291
0.072107,3.074291
0.072798,3.084066
0.073465,3.074291
0.074123,3.069404
0.074704,3.069404
0.075369,3.079179
0.076069,3.074291
0.076774,3.074291
0.077433,3.064516
0.078099,3.074291
0.078792,3.074291
0.079474,3.074291
0.080148,3.069404
0.080861,3.074291
0.081549,3.079179
0.082188,3.059629
0.082852,3.069404
0.083524,3.074291
0.084193,3.069404
0.084851,3.079179
0.085532,3.074291
0.086232,3.074291
0.086848,3.074291
0.087520,3.074291
0.088217,3.079179
0.088919,3.079179
0.089648,3.074291
0.090334,3.069404
0.090992,3.079179
0.091675,3.079179
0.092368,3.074291
0.093018,3.074291
0.093683,3.069404
0.094348,3.074291
0.095050,3.079179
0.095748,3.074291
0.096406,3.069404
0.097092,3.069404
0.097777,3.069404
0.098552,3.074291
0.099251,3.069404
0.099933,3.069404
0.100617,3.074291
0.101272,3.069404
0.101913,3.074291
0.102600,3.074291
0.103228,3.074291
0.103894,3.069404
0.104557,3.074291
0.105218,3.074291
0.105872,3.079179
0.106559,3.074291
0.107188,3.064516
0.107848,3.074291
0.108503,3.069404
0.109142,3.074291
0.109776,3.074291
0.110474,3.069404
0.111138,3.074291
0.111830,3.074291
0.112492,3.079179
0.113219,3.084066
0.113916,3.074291
0.114594,3.069404
0.115270,3.074291
0.115953,3.074291
0.116601,3.074291
0.117269,3.079179
0.117962,3.074291
0.118703,3.074291
0.119395,3.079179
0.120048,3.069404
0.120725,3.069404
0.121370,3.074291
0.122068,3.069404
0.122756,3.074291
0.123458,3.069404
0.124146,3.064516
0.124932,3.069404
0.125631,3.064516
0.126512,3.069404
0.127264,3.074291
0.127933,3.069404
0.128663,3.064516
0.129467,3.064516
0.130246,3.069404
0.131013,3.069404
0.131691,3.074291
0.132395,3.064516
0.133090,3.069404
0.133780,3.074291
0.134435,3.074291
0.135138,3.069404
0.135810,3.069404
0.136447,3.074291
0.137129,3.069404
0.137840,3.064516
0.138545,3.074291
0.139259,3.069404
0.139981,3.069404
0.140687,3.064516
0.141342,3.069404
0.142048,3.069404
0.142744,3.074291
0.143528,3.074291
0.144355,3.069404
0.145139,3.069404
0.145937,3.064516
0.146780,3.064516
0.147514,3.079179
0.148184,3.079179
0.148854,3.064516
0.149531,3.069404
0.150183,3.069404
0.150883,3.069404
0.151549,3.074291
0.152280,3.074291
0.152986,3.084066
0.153757,3.074291
