время[c],напряжение[В]
0.228931,2.644184
0.229642,2.644184
0.230359,2.653959
0.231087,2.644184
0.231835,2.653959
0.232554,2.649071
0.233361,2.649071
0.234207,2.644184
0.235074,2.644184
0.236306,2.644184
0.237050,2.639296
0.237964,2.639296
0.238838,2.644184
0.239645,2.644184
0.240442,2.644184
0.241236,2.649071
0.242128,2.649071
0.242868,2.644184
0.243594,2.644184
0.244282,2.639296
0.244978,2.649071
0.245676,2.644184
0.246359,2.649071
0.247048,2.644184
0.247723,2.639296
0.248404,2.639296
0.249106,2.644184
0.249794,2.639296
0.250468,2.639296
0.251173,2.644184
0.251851,2.644184
0.252543,2.639296
0.253231,2.639296
0.253922,2.644184
0.254636,2.644184
0.255332,2.644184
0.256030,2.644184
0.256713,2.644184
0.257393,2.644184
0.258096,2.639296
0.258808,2.653959
0.259528,2.649071
0.260222,2.644184
0.260911,2.644184
0.261607,2.644184
0.262304,2.639296
0.262985,2.644184
0.263663,2.644184
0.264345,2.639296
0.265039,2.649071
0.265702,2.639296
0.266409,2.639296
0.267099,2.639296
0.267784,2.639296
0.268461,2.649071
0.269136,2.644184
0.269813,2.644184
0.270500,2.639296
0.271188,2.649071
0.271872,2.644184
0.272556,2.634409
0.273237,2.639296
0.273920,2.644184
0.274616,2.639296
0.275392,2.639296
0.276087,2.634409
0.276778,2.639296
0.277466,2.634409
0.278158,2.644184
0.278848,2.644184
0.279540,2.639296
0.280243,2.644184
0.280920,2.644184
0.281599,2.639296
0.282286,2.644184
0.282966,2.639296
0.283639,2.649071
0.284318,2.649071
0.285062,2.649071
0.285749,2.639296
0.286442,2.639296
0.287143,2.639296
0.287831,2.644184
0.288528,2.639296
0.289214,2.639296
0.289947,2.639296
0.290632,2.644184
0.291344,2.639296
0.292088,2.644184
0.292809,2.644184
0.293530,2.639296
0.294225,2.649071
0.294958,2.639296
0.295678,2.644184
0.296378,2.639296
0.297089,2.644184
0.297769,2.639296
0.298468,2.639296
0.299159,2.634409
0.299854,2.639296
0.300487,2.649071
0.301117,2.639296
0.301800,2.639296
0.302497,2.644184
0.303197,2.644184
0.303912,2.644184
0.304674,2.644184
0.305389,2.644184
0.306144,2.649071
0.306821,2.639296
0.307528,2.634409
0.308251,2.639296
0.308994,2.644184
0.309725,2.644184
0.310452,2.639296
0.311147,2.644184
0.311845,2.644184
0.312568,2.644184
0.313274,2.639296
0.313994,2.639296
0.314723,2.639296
0.315459,2.644184
0.316182,2.649071
0.316910,2.639296
0.317613,2.644184
0.318337,2.649071
0.319084,2.644184
0.319807,2.639296
0.320544,2.644184
0.321301,2.639296
0.322054,2.639296
0.322788,2.644184
0.323639,2.644184
0.324504,2.639296
0.325358,2.644184
0.326094,2.644184
0.326829,2.649071
0.327612,2.649071
0.328470,2.644184
0.329262,2.639296
0.330024,2.644184
0.330812,2.644184
0.331553,2.644184
0.332261,2.649071
0.332984,2.644184
0.333708,2.644184
0.334433,2.644184
0.335162,2.639296
0.335917,2.644184
0.336637,2.639296
0.337381,2.644184
0.338081,2.644184
0.338809,2.644184
0.339468,2.649071
0.340142,2.649071
0.340800,2.653959
0.341463,2.649071
0.342137,2.644184
0.342794,2.649071
0.343462,2.653959
0.344125,2.653959
0.344779,2.649071
0.345440,2.644184
0.346095,2.649071
0.346747,2.649071
0.347414,2.653959
0.348074,2.649071
0.348744,2.649071
0.349409,2.644184
0.350080,2.649071
0.350757,2.649071
0.351432,2.639296
0.352103,2.639296
0.352794,2.644184
0.353512,2.649071
0.354189,2.644184
0.354878,2.644184
0.355582,2.639296
0.356261,2.644184
0.356959,2.649071
0.357645,2.644184
0.358384,2.649071
0.359060,2.649071
0.359741,2.653959
0.360476,2.649071
0.361225,2.644184
0.361912,2.649071
0.362610,2.653959
0.363357,2.649071
0.364061,2.644184
0.364755,2.644184
0.365434,2.644184
0.366138,2.649071
0.366813,2.644184
0.367519,2.644184
0.368262,2.644184
0.368950,2.639296
0.369637,2.644184
0.370341,2.639296
0.371030,2.644184
0.371720,2.644184
0.372407,2.649071
0.373125,2.649071
0.373817,2.644184
0.374506,2.649071
0.375190,2.644184
0.375880,2.644184
0.376564,2.649071
0.377267,2.644184
0.378034,2.649071
0.378721,2.644184
0.379402,2.649071
0.380094,2.653959
0.380775,2.644184
0.381485,2.644184
0.382174,2.644184
0.382922,2.644184
0.383613,2.644184
0.384291,2.649071
0.384983,2.649071
0.385659,2.644184
0.386343,2.649071
0.387022,2.644184
0.387769,2.649071
0.388694,2.649071
0.389423,2.644184
0.390208,2.644184
0.391006,2.639296
0.391753,2.649071
0.392689,2.644184
0.393661,2.644184
0.394553,2.639296
0.395349,2.639296
0.396091,2.644184
0.396836,2.644184
0.397672,2.639296
0.398418,2.644184
0.399198,2.649071
0.400107,2.644184
0.400938,2.644184
0.401750,2.639296
0.402696,2.639296
0.403435,2.644184
0.404178,2.639296
0.404916,2.649071
0.405660,2.644184
0.406362,2.649071
0.407170,2.644184
0.408045,2.644184
0.408813,2.644184
0.409884,2.649071
0.410859,2.634409
0.411620,2.644184
0.412371,2.639296
0.413283,2.693060
0.414153,2.644184
0.414972,2.634409
0.415805,2.649071
0.416603,2.639296
0.417406,2.649071
0.418085,2.644184
0.418768,2.649071
0.419455,2.639296
0.420134,2.639296
0.420830,2.639296
0.421513,2.639296
0.422224,2.639296
0.422897,2.634409
0.423621,2.639296
0.424295,2.639296
0.425015,2.639296
0.425760,2.644184
0.426458,2.644184
0.427155,2.649071
0.427832,2.644184
0.428533,2.639296
0.429211,2.649071
0.429924,2.639296
0.430598,2.644184
0.431288,2.634409
0.431967,2.644184
0.432666,2.644184
0.433342,2.639296
0.434035,2.639296
0.434745,2.639296
0.435438,2.639296
0.436116,2.639296
0.436834,2.644184
0.437516,2.644184
0.438198,2.639296
0.438874,2.639296
0.439560,2.639296
0.440248,2.644184
0.440935,2.644184
0.441686,2.644184
0.442516,2.639296
0.443203,2.634409
0.443910,2.644184
0.444626,2.644184
0.445328,2.639296
0.446010,2.634409
0.446700,2.644184
0.447368,2.639296
0.448058,2.639296
0.448730,2.639296
0.449426,2.639296
0.450108,2.634409
0.450810,2.644184
0.451500,2.644184
0.452224,2.649071
0.452951,2.649071
0.453642,2.644184
0.454326,2.639296
0.455017,2.644184
0.455698,2.644184
0.456417,2.639296
0.457103,2.644184
0.457802,2.639296
0.458526,2.644184
0.459227,2.649071
0.459926,2.644184
0.460605,2.644184
0.461305,2.644184
0.462021,2.644184
0.462714,2.649071
0.463420,2.644184
0.464099,2.649071
0.464784,2.639296
0.465478,2.644184
0.466188,2.639296
0.466878,2.644184
0.467566,2.644184
0.468259,2.644184
0.468956,2.644184
0.469638,2.644184
0.470331,2.634409
0.471090,2.644184
0.471780,2.639296
0.472511,2.644184
0.473188,2.644184
0.473881,2.639296
0.474620,2.644184
0.475352,2.649071
0.476064,2.649071
0.476763,2.649071
0.477459,2.644184
0.478158,2.644184
0.478845,2.639296
0.479524,2.644184
0.480217,2.639296
0.480898,2.644184
0.481596,2.644184
0.482297,2.639296
0.483006,2.644184
0.483711,2.639296
0.484384,2.644184
0.485075,2.639296
0.485766,2.639296
0.486461,2.634409
0.487181,2.639296
0.487871,2.639296
0.488567,2.634409
0.489254,2.644184
0.489941,2.639296
0.490656,2.644184
0.491345,2.639296
0.492075,2.649071
0.492843,2.639296
0.493577,2.644184
0.494312,2.639296
0.495034,2.644184
0.495756,2.639296
0.496471,2.639296
0.497212,2.639296
0.497950,2.639296
0.498659,2.649071
0.499478,2.644184
0.500356,2.644184
0.501068,2.644184
0.501766,2.644184
0.502484,2.644184
0.503324,2.644184
0.504167,2.649071
0.504984,2.644184
0.505714,2.639296
0.506459,2.644184
0.507206,2.639296
0.507912,2.639296
0.508648,2.644184
0.509362,2.649071
0.510098,2.639296
0.510814,2.639296
0.511634,2.644184
0.512415,2.644184
0.513160,2.639296
0.513839,2.639296
0.514513,2.639296
0.515171,2.644184
0.515826,2.649071
0.516504,2.639296
0.517183,2.644184
0.517855,2.644184
0.518543,2.644184
0.519283,2.644184
0.519998,2.649071
0.520719,2.639296
0.521405,2.644184
0.522059,2.653959
0.522690,2.644184
0.523346,2.649071
0.523994,2.644184
0.524673,2.649071
0.525319,2.649071
0.526012,2.644184
0.526671,2.649071
0.527332,2.649071
0.527991,2.649071
0.528650,2.653959
0.529309,2.649071
0.529984,2.644184
0.530642,2.649071
0.531316,2.653959
0.532017,2.653959
0.532698,2.639296
0.533395,2.644184
0.534072,2.649071
0.534735,2.644184
0.535418,2.653959
0.536101,2.649071
0.536782,2.644184
0.537479,2.649071
0.538160,2.653959
0.538874,2.649071
0.539588,2.644184
0.540271,2.649071
0.540951,2.649071
0.541633,2.649071
0.542340,2.639296
0.543029,2.649071
0.543721,2.644184
0.544491,2.639296
0.545201,2.644184
0.545884,2.644184
0.546568,2.644184
0.547267,2.644184
0.547955,2.644184
0.548646,2.639296
0.549376,2.644184
0.550053,2.644184
0.550732,2.653959
0.551410,2.644184
0.552090,2.644184
0.552758,2.644184
0.553451,2.644184
0.554185,2.644184
0.554873,2.644184
0.555568,2.644184
0.556242,2.644184
0.556908,2.644184
0.557579,2.649071
0.558272,2.644184
0.558943,2.639296
0.559712,2.639296
0.560410,2.644184
0.561089,2.649071
0.561774,2.644184
0.562447,2.644184
0.563122,2.644184
0.563808,2.639296
0.564490,2.649071
0.565176,2.649071
0.566072,2.644184
0.566750,2.644184
0.567544,2.639296
0.568303,2.644184
0.569001,2.644184
0.569717,2.639296
0.570677,2.644184
0.571579,2.639296
0.572433,2.639296
0.573188,2.644184
0.573952,2.649071
0.574743,2.634409
0.575495,2.649071
0.576228,2.639296
0.577118,2.639296
0.578045,2.649071
0.578765,2.644184
0.579572,2.649071
0.580376,2.644184
0.581135,2.639296
0.582040,2.644184
0.582963,2.639296
0.583822,2.639296
0.584711,2.639296
0.585606,2.639296
0.586400,2.639296
0.587146,2.639296
0.587875,2.644184
0.588601,2.639296
0.589333,2.649071
0.590081,2.639296
0.590968,2.649071
0.591791,2.644184
0.592561,2.644184
0.593338,2.644184
0.594045,2.644184
0.594780,2.644184
0.595492,2.644184
0.596211,2.649071
0.596930,2.639296
0.597620,2.644184
0.598330,2.639296
0.599033,2.639296
0.599730,2.639296
0.600435,2.639296
0.601143,2.644184
0.601848,2.639296
